transaction_id,account_id,challenge_category,category_name,ground_truth_label,target_binary,amount,timestamp,scenario_id,notes
TXN_CHAL_000069,ACC_000135,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,28000.0,2026-03-08T10:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000065,ACC_000046,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,3500.0,2026-03-08T19:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000074,ACC_000087,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,49000.0,2026-03-08T22:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000075,ACC_000087,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,3500.0,2026-03-09T07:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000073,ACC_000087,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,28000.0,2026-03-09T08:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000071,ACC_000135,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,28000.0,2026-03-09T09:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000077,ACC_000036,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,18000.0,2026-03-09T09:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000072,ACC_000135,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,18000.0,2026-03-09T11:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000067,ACC_000046,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,8500.0,2026-03-09T17:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000070,ACC_000135,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,49000.0,2026-03-09T20:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000066,ACC_000046,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,3500.0,2026-03-09T21:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000068,ACC_000046,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,28000.0,2026-03-09T23:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000080,ACC_000036,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,8500.0,2026-03-10T00:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000079,ACC_000036,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,3500.0,2026-03-10T02:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000076,ACC_000087,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,1500.0,2026-03-10T04:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000078,ACC_000036,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,1500.0,2026-03-10T06:49:45,CHAL_A_FAMILY_005,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000397,ACC_000128,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,52000.0,2026-03-10T11:32:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000401,ACC_000003,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,52000.0,2026-03-10T11:38:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000398,ACC_000128,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T11:39:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000404,ACC_000106,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T11:40:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000402,ACC_000003,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,7500.0,2026-03-10T11:43:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000399,ACC_000128,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,1200.0,2026-03-10T11:45:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000403,ACC_000003,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T11:49:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000407,ACC_000140,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,28000.0,2026-03-10T11:49:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000405,ACC_000106,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T11:51:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000411,ACC_000004,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,7500.0,2026-03-10T11:51:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000400,ACC_000128,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T11:52:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000406,ACC_000106,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T11:56:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000408,ACC_000140,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,7500.0,2026-03-10T11:56:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000412,ACC_000004,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,28000.0,2026-03-10T12:01:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000409,ACC_000140,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,1200.0,2026-03-10T12:02:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000410,ACC_000140,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,28000.0,2026-03-10T12:06:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000413,ACC_000004,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-10T12:06:50,CHAL_E_RUSH_HOUR_004,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000221,ACC_000198,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,22000.0,2026-03-10T12:45:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000033,ACC_000182,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,1500.0,2026-03-10T13:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000041,ACC_000133,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,8500.0,2026-03-10T16:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000224,ACC_000065,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,75000.0,2026-03-10T18:32:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000222,ACC_000198,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,28000.0,2026-03-11T00:28:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000227,ACC_000090,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,22000.0,2026-03-11T00:37:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000045,ACC_000147,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,28000.0,2026-03-11T04:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000046,ACC_000147,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,1500.0,2026-03-11T05:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000230,ACC_000035,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,75000.0,2026-03-11T06:33:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000225,ACC_000065,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,55000.0,2026-03-11T06:55:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000169,ACC_000023,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,22000.0,2026-03-11T11:12:41,CHAL_C_LANDLORD_001,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000223,ACC_000198,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,22000.0,2026-03-11T12:39:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000228,ACC_000090,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,55000.0,2026-03-11T12:50:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000233,ACC_000088,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,38000.0,2026-03-11T12:53:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000556,ACC_000164,G_COMPOUND_INFRA,Compound Multi-Signal Lookalikes,legitimate,0,4500.0,2026-03-11T15:37:11,CHAL_G_COMPOUND_003,Family-run small business sharing office hardware and vendor account legitimately
TXN_CHAL_000172,ACC_000114,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,48500.0,2026-03-11T17:21:41,CHAL_C_LANDLORD_001,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000043,ACC_000133,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,1500.0,2026-03-11T17:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000231,ACC_000035,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,22000.0,2026-03-11T18:21:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000036,ACC_000182,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,1500.0,2026-03-11T18:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000226,ACC_000065,C_COMMON_BENEFICIARY,Legitimate Common Beneficiaries,legitimate,0,48500.0,2026-03-11T18:45:20,CHAL_C_LANDLORD_004,Apartment residents paying monthly rent/society dues to common landlord
TXN_CHAL_000038,ACC_000119,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,49000.0,2026-03-11T19:30:01,CHAL_A_FAMILY_003,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000560,ACC_000181,G_COMPOUND_INFRA,Compound Multi-Signal Lookalikes,legitimate,0,35000.0,2026-03-11T19:42:11,CHAL_G_COMPOUND_003,Family-run small business sharing office hardware and vendor account legitimately
TXN_CHAL_000133,ACC_000139,B_SHARED_IP,Shared-IP Legitimate Users,legitimate,0,4500.0,2026-03-11T19:51:31,CHAL_B_OFFICE_IP_004,Co-workers on office Wi-Fi transacting from distinct mobile devices
TXN_CHAL_000136,ACC_000001,B_SHARED_IP,Shared-IP Legitimate Users,legitimate,0,450.0,2026-03-11T20:50:31,CHAL_B_OFFICE_IP_004,Co-workers on office Wi-Fi transacting from distinct mobile devices
TXN_CHAL_000005,ACC_000080,A_SHARED_DEVICE,Shared-Device Legitimate Users,legitimate,0,49000.0,2026-03-11T20:50:45,CHAL_A_FAMILY_001,Family members sharing home desktop/tablet for independent household bills
TXN_CHAL_000342,ACC_000074,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,16000.0,2026-03-11T20:55:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000346,ACC_000171,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-11T20:57:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000343,ACC_000074,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,1200.0,2026-03-11T20:59:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000350,ACC_000038,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,1200.0,2026-03-11T21:04:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000344,ACC_000074,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,16000.0,2026-03-11T21:07:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000347,ACC_000171,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-11T21:07:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000353,ACC_000155,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,7500.0,2026-03-11T21:07:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000351,ACC_000038,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,28000.0,2026-03-11T21:13:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000345,ACC_000074,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-11T21:15:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000348,ACC_000171,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,3200.0,2026-03-11T21:15:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000354,ACC_000155,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,7500.0,2026-03-11T21:15:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
TXN_CHAL_000356,ACC_000073,E_COORDINATED_TIMING,Coordinated Timing Rush Hour,legitimate,0,16000.0,2026-03-11T21:15:29,CHAL_E_RUSH_HOUR_001,Simultaneous payday utility bills and personal transfers across independent users
